analysis_identity,weight_mode,fit_stage,n_fit_rows,clipping_fraction,effective_sample_size,effective_sample_fraction
post_hoc_extension_float32_v4,compound_equal,outer_final,1248,0.0,1043.2335140892803,0.8359242901356413
post_hoc_extension_float32_v4,domain_balanced_clipped,outer_final,1248,0.0232371794871794,226.31467721746927,0.1813418887960491
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,791.416245561736,0.8455301768821966
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.032051282051282,166.2978687002462,0.1776686631412886
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,798.4063111061853,0.8529981956262663
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0341880341880341,174.96518507151134,0.1869286165293924
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,791.3284129851826,0.8454363386593831
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0309829059829059,178.26654576950014,0.190455711292201
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,786.9616378642976,0.8407709806242496
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0331196581196581,168.709256029174,0.1802449316551004
post_hoc_extension_float32_v4,compound_equal,outer_final,1248,0.0,1056.0101986882253,0.8461620181796677
post_hoc_extension_float32_v4,domain_balanced_clipped,outer_final,1248,0.0248397435897435,224.43320597552452,0.1798342996598754
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,775.0740951485614,0.8280706144749587
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0288461538461538,166.69249540971688,0.1780902728736291
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,794.1749048200269,0.8484774624145587
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0331196581196581,170.87559343703643,0.1825593946976885
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,783.3157498725739,0.8368758011459122
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0309829059829059,166.00202044804345,0.1773525859487643
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,787.2567715804574,0.8410862944235656
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0299145299145299,174.74451005883935,0.1866928526269651
post_hoc_extension_float32_v4,compound_equal,outer_final,1248,0.0,1046.5977028979994,0.8386199542451919
post_hoc_extension_float32_v4,domain_balanced_clipped,outer_final,1248,0.0272435897435897,214.4782495296803,0.1718575717385259
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,780.5840232714257,0.8339572898198993
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0288461538461538,177.14177643848242,0.1892540346564983
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,791.217229752976,0.8453175531548889
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0363247863247863,162.22681112016224,0.173319242649746
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,780.9271071802295,0.8343238324575102
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0384615384615384,161.67378273031096,0.1727284003528963
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,781.6626753335614,0.8351096958691896
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0384615384615384,165.16135971361166,0.176454444138474
post_hoc_extension_float32_v4,compound_equal,outer_final,1248,0.0,1044.7340586728783,0.8371266495776268
post_hoc_extension_float32_v4,domain_balanced_clipped,outer_final,1248,0.0304487179487179,211.70929240725616,0.1696388560955578
